SUPP_CODE,SUPP_NAME,BRAND_CODE,BRAND_COD2,BRAND_LINE,LINES,BRANDGROUP,GROUP,MAINGROUP,IB,TGT_QTR1,TGT_QTR2,TGT_QTR3,TGT_QTR4,TRG_TOT,SUP_TRG,RGROUP,TGROUP,RANKGRP,LINEFLAG,PRODUCT,GROUPLINES,BR_LINES,BR_CLASS,ITSUB_TYPE
16-120,PARFUMS CHRISTIAN DIOR,0324,0324,SKIN CARE-CAPTURE-LIFT,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,0,0,CAPTURE R60/80,FACE SKINCARE,SKINCARE,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0325,0325,SKIN CARE-CLAIRE DE DIOR,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,0,0,UV30/C. DE DIOR,FACE SKINCARE,SKINCARE,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0326,0326,SKIN CARE - SPF 30,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,0,0,UV30/C. DE DIOR,FACE SKINCARE,SKINCARE,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0327,0327,SKIN CARE PHENOMEN A,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,0,0,PHENOMEN A,FACE SKINCARE,SKINCARE,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0328,0328,MODEL LIFT,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,0,0,MODEL LIFT,FACE SKINCARE,SKINCARE,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0329,0329,SKIN CARE-NO AGE,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,0,0,SKIN CARE NO-AGE,FACE SKINCARE,SKINCARE,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0330,0330,SKIN CARE-ICONE III,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,0,0,ICONE,FACE SKINCARE,SKINCARE,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0331,0331,SKIN CARE-ICONE-ALL DRYNESS,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,0,0,ICONE,FACE SKINCARE,SKINCARE,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0332,0332,SKIN CARE-ICONE-SENSITIVE,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,0,0,ICONE,FACE SKINCARE,SKINCARE,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0334,0334,ETHIQUE (PROTECTIVE SKIN),,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,0,0,ETHIQUE,FACE SKINCARE,SKINCARE,0,,,,,
16-120D,CHRISTIAN DIOR DISCONTINUED ITEMS,0334,0334,ETHIQUE (PROTECTIVE SKIN),,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,0,0,ETHIQUE,FACE SKINCARE,SKINCARE,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0336,0336,SKIN CARE-SVELTE,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,0,0,BODY LIGHT,BODY CARE,SKINCARE,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0337,0337,EAU SVELTE,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,141000,141000,SVELTE,BODY CARE,SKINCARE,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0338,0338,SKIN CARE - SPECIFIC LEGS,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,0,0,OTHER BODY CARE,BODY CARE,SKINCARE,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0339,0339,MASCARA FLASH,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,0,0,MAKE UP-HAIR,MAKE UP,MAKEUP,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0341,0341,EQUITE,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,0,0,EQUITE,FACE SKINCARE,SKINCARE,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0342,0342,VITALMINE (SKINCARE),,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,0,0,ECLAT/VITALMINE,FACE SKINCARE,SKINCARE,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0345,0345,ECLAT PARFAIT,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,0,0,ECLAT/VITALMINE,FACE SKINCARE,SKINCARE,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0351,0351,HYDRA STAR,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,0,0,HYDRA STAR,FACE SKINCARE,SKINCARE,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0352,0352,DIOR BRONZE,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,146000,146000,DIOR BRONZE,SUN CARE,SKINCARE,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0353,0353,HYDRA MOVE,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,0,0,HYDRA MOVE,FACE SKINCARE,SKINCARE,0,,,,,
