LOCATION,TYPE,DTE,VOUNO,SUPP_CUSTM,TOTAMOUNT,DISCOUNT,DISC_ADDED,OTHER_CHRG,ORDER_REF,LC_NO,INVNO,EXCH_RATE,LND_RATE,CREDITCODE,SALES_MAN,SPARE,STVDESTIN,ORDTYPE,ORDER_REF2,ENTRYDTE,CLIENT,CARD,ORDER_REF3,ADDRESS,TEL
14,2,1/9/2018,18120022,17-449,118,20,0.4,0,,,,0,0,1,,,2,1,,,,,,,
14,2,1/9/2018,18120023,17-449,286,0,40,0,,,,0,0,1,,,2,1,,,,,,,
14,2,1/9/2018,18120024,17-449,286,0,71,0,,,,0,0,1,,,2,1,,,,,,,
14,2,1/10/2018,18120025,17-449,466,0,77,0,,,,0,0,1,,,2,1,,,,,,,
14,2,1/10/2018,18120026,17-449,332,20,0.6,0,,,,0,0,1,,,2,1,,,,,,,
14,2,1/10/2018,18120027,17-449,395,20,0,0,,,,0,0,1,,,2,1,,,,,,,
14,2,1/11/2018,18120028,17-449,569,0,114,0,,,,0,0,1,,,2,1,,,,,,,
14,2,1/11/2018,18120029,17-449,614,20,0.2,0,,,,0,0,1,,,2,1,,,,,,,
14,2,1/12/2018,18120030,17-449,918,0,0,0,,,,0,0,1,,,2,1,,,,,,,
14,2,1/13/2018,18120031,17-449,165,0,0,0,,,,0,0,1,,,2,1,,,,,,,
14,2,1/13/2018,18120032,17-449,259,0,52,0,,,,0,0,1,,,2,1,,,,,,,
14,2,1/13/2018,18120033,17-449,1050,20,0,0,,,,0,0,1,,,2,1,,,,,,,
14,2,1/13/2018,18120034,17-449,1500,20,0,0,,,,0,0,1,,,2,1,,,,,,,
14,3,1/8/2018,18130003,,384,20,0.2,0,,,,0,0,1,,,2,1,,,,,,,
14,3,1/12/2018,18130004,,918,0,184,0,,,,0,0,1,,,2,1,,,,,,,
14,3,1/13/2018,18130005,,330,20,0,0,,,,0,0,1,,,2,1,,,,,,,
14,4,1/9/2018,18140004,17-449,286,0,40,0,,,,0,0,1,,,2,1,,,,,,,
14,4,1/12/2018,18140005,17-449,918,0,0,0,,,,0,0,1,,,2,1,,,,,,,
8,2,1/7/2018,18120001,17-4523,160,10,0,0,,,,0,0,1,,,2,1,,,,,,,
8,3,1/2/2018,18130002,,160,15,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/10/2018,18120023,17-4491,659,20,0.2,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/10/2018,18120024,17-4491,1500,20,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/10/2018,18120025,17-4491,659,20,0.2,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/10/2018,18120026,17-4491,238,25,0.5,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/11/2018,18120027,17-4491,430,20,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/11/2018,18120028,17-4491,754,0,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/11/2018,18120029,17-4491,215,20,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/12/2018,18120030,17-4491,400,5,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/13/2018,18120031,17-4491,1500,20,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/13/2018,18120032,17-4491,843,20,0.4,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/13/2018,18120033,17-4491,540,20,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/13/2018,18120034,17-4491,804,20,0.2,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/13/2018,18120035,17-4491,1500,20,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/14/2018,18120036,17-4491,173,0,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/14/2018,18120037,17-4491,835,20,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/14/2018,18120038,17-4491,659,20,0.2,0,,,,0,0,1,,,2,1,,,,,,,
22,3,1/10/2018,18130011,,824,20,0.2,0,,,,0,0,1,,,2,1,,,,,,,
22,3,1/11/2018,18130012,,164,20,0.2,0,,,,0,0,1,,,2,1,,,,,,,
22,3,1/11/2018,18130013,,754,20,0.2,0,,,,0,0,1,,,2,1,,,,,,,
22,3,1/12/2018,18130014,,1050,20,0,0,,,,0,0,1,,,2,1,,,,,,,
22,3,1/14/2018,18130015,,168,20,0.4,0,,,,0,0,1,,,2,1,,,,,,,
22,3,1/15/2018,18130016,,1024,0,0,0,,,,0,0,1,,,2,1,,,,,,,
22,3,1/15/2018,18130017,,395,20,0,0,,,,0,0,1,,,2,1,,,,,,,
22,4,1/11/2018,18140003,17-4491,754,0,0,0,,,,0,0,1,,,2,1,,,,,,,
22,4,1/12/2018,18140004,17-4491,377,0,0,0,,,,0,0,1,,,2,1,,,,,,,
8,2,1/9/2018,18120002,17-4523,450,10,0,0,,,,0,0,1,,,2,1,,,,,,,
8,2,1/9/2018,18120003,17-4523,675,10,0.5,0,,,,0,0,1,,,2,1,,,,,,,
8,2,1/9/2018,18120004,17-4523,225,0,0,0,,,,0,0,1,,,2,1,,,,,,,
8,2,1/10/2018,18120005,17-4523,195,10,0.5,0,,,,0,0,1,,,2,1,,,,,,,
8,2,1/11/2018,18120006,17-4523,160,20,0,0,,,,0,0,1,,,2,1,,,,,,,
8,2,1/11/2018,18120007,14-003,320,0,0,0,,,,0,0,1,,,2,1,,,,,,,
8,2,1/11/2018,18120008,14-003,320,0,0,0,,,,0,0,1,,,2,1,,,,,,,
8,2,1/11/2018,18120009,17-4523,225,0,0,0,,,,0,0,1,,,2,1,,,,,,,
8,2,1/11/2018,18120010,20-42,0,0,0,0,,,,0,0,1,,,2,1,,,,,,,
8,3,1/8/2018,18130003,,195,0,0,0,,,,0,0,1,,,2,1,,,,,,,
8,3,1/15/2018,18130004,,210,0,0,0,,,,0,0,1,,,2,1,,,,,,,
8,4,1/9/2018,18140001,17-4523,450,10,0,0,,,,0,0,1,,,2,1,,,,,,,
8,4,1/11/2018,18140002,14-003,320,0,0,0,,,,0,0,1,,,2,1,,,,,,,
16,3,1/14/2018,18130001,,719,0,0,0,,,JAN/1/18,0,0,1,,,2,1,,,,,,,
16,3,1/14/2018,18130002,,1030,0,0,0,,,JAN/4/18,0,0,1,,,2,1,,,,,,,
16,3,1/14/2018,18130003,,461,0,0,0,,,JAN/8/18,0,0,1,,,2,1,,,,,,,
16,3,1/14/2018,18130004,,168,0,0,0,,,JAN/9/18,0,0,1,,,2,1,,,,,,,
16,3,1/14/2018,18130005,,867,0,0,0,,,JAN/11/18,0,0,1,,,2,1,,,,,,,
16,3,1/14/2018,18130006,,589,0,0,0,,,JAN/13/18,0,0,1,,,2,1,,,,,,,
16,3,1/14/2018,18130007,,1102,0,0,0,,,JAN/14/18,0,0,1,,,2,1,,,,,,,
14,2,1/14/2018,18120035,17-449,1500,20,0,0,,,,0,0,1,,,2,1,,,,,,,
14,2,1/14/2018,18120036,17-449,1500,20,0,0,,,,0,0,1,,,2,1,,,,,,,
14,2,1/15/2018,18120037,17-449,697,20,0.6,0,,,,0,0,1,,,2,1,,,,,,,
14,2,1/15/2018,18120038,17-449,238,20,0.4,0,,,,0,0,1,,,2,1,,,,,,,
14,2,1/16/2018,18120039,17-449,564,20,0.2,0,,,,0,0,1,,,2,1,,,,,,,
14,2,1/16/2018,18120040,17-449,336,0,68,0,,,,0,0,1,,,2,1,,,,,,,
14,2,1/16/2018,18120041,17-449,516,20,0.8,0,,,,0,0,1,,,2,1,,,,,,,
14,2,1/16/2018,18120042,17-449,365,0,94,0,,,,0,0,1,,,2,1,,,,,,,
