LOCATION,TYPE,DTE,VOUNO,REF_NO,PRICE_COST,QTY,UNITS,CATAGORY,DFLAG,AV_COST,WS_COST,RT_COST,SALE_COST,SUP_CUS,SUPP_CODE,BRAND_CODE,REF_NO2,ENTRYDTE,SALEMAN
1,5,1/14/2018,21810009,CD-002870090,173,3,1,,,92.302,117.64,173,0,STKTR19,16-120,0200,CDIOR,,
1,5,1/14/2018,21810009,CD-069625091,173,1,1,,,90.129,117.64,173,0,STKTR19,16-120,0200,SECTION S,,
1,5,1/14/2018,21810009,CD-916377000,396,1,1,,,211.837,269.28,396,0,STKTR19,16-120,0201,SECTION S,,
1,5,1/14/2018,21810009,CD-071525876,208,1,1,,,103.421,141.44,208,0,STKTR19,16-120,0211,SECTION S,,
1,5,1/14/2018,21810009,CD-002953000,87,1,1,,,44.263,59.16,87,0,STKTR19,16-120,0231,SECTION S,,
1,5,1/14/2018,21810009,CD-002875451,173,1,1,,,90.299,117.64,173,0,STKTR19,16-120,0250,SECTION S,,
1,5,1/14/2018,21810009,CD-002436000,172,1,1,,,91.872,116.96,172,0,STKTR19,16-120,0306,CDIOR,,
1,5,1/14/2018,21810009,CD-002445000,172,1,1,,,91.953,116.96,172,0,STKTR19,16-120,0306,CDIOR,,
1,5,1/14/2018,21810009,CD-077890031,238,1,1,,,125.878,161.84,238,0,STKTR19,16-120,0366,SECTION S,,
1,5,1/14/2018,21810009,CD-033230030,278,4,1,,,140.581,189.04,278,0,STKTR19,16-120,0370,SECTION S,,
1,5,1/14/2018,21810009,CD-072035001,263,1,1,,,140.676,178.84,263,0,STKTR19,16-120,0370,SECTION S,,
1,5,1/14/2018,21810009,CD-077080030,238,2,1,,,127.276,161.84,238,0,STKTR19,16-120,0370,SECTION S,,
1,5,1/14/2018,21810009,CD-077080040,238,1,1,,,127.276,161.84,238,0,STKTR19,16-120,0370,SECTION S,,
1,5,1/14/2018,21810010,CD-004153009,160,3,1,,,175.314,160,160,0,STKTR8,16-120,0110,CDIOR,,
1,5,1/14/2018,21810010,CD-004158009,225,9,1,,,245.053,225,225,0,STKTR8,16-120,0110,CDIOR,,
22,5,1/14/2018,21810011,CD-071935002,195,1,1,,,129.54,195,195,0,STKTR8,16-120,0366,SECTION S,,
22,5,1/14/2018,21810011,CD-002860852,135,1,1,,,81.656,135,135,0,STKTR8,16-120,0250,SECTION S,,
16,5,1/14/2018,21810012,CD-071935002,195,3,1,,,129.54,195,195,0,STKTR8,16-120,0366,SECTION S,,
16,5,1/14/2018,21810012,CD-002860852,135,1,1,,,81.656,135,135,0,STKTR8,16-120,0250,SECTION S,,
6,5,1/14/2018,21810013,CD-071935002,195,1,1,,,129.54,195,195,0,STKTR8,16-120,0366,SECTION S,,
6,5,1/14/2018,21810013,CD-002860852,135,1,1,,,81.656,135,135,0,STKTR8,16-120,0250,SECTION S,,
14,5,1/14/2018,21810014,CD-028506452,112,3,1,,,71.862,112,112,0,STKTR8,16-120,0230,SECTION S,,
14,5,1/14/2018,21810014,CD-071935002,195,1,1,,,129.54,195,195,0,STKTR8,16-120,0366,SECTION S,,
14,5,1/14/2018,21810014,CD-028506432,112,1,1,,,72.836,112,112,0,STKTR8,16-120,0200,SECTION S,,
14,5,1/14/2018,21810014,CD-002860852,135,1,1,,,81.656,135,135,0,STKTR8,16-120,0250,SECTION S,,
19,5,1/14/2018,21810015,CD-071935002,195,2,1,,,129.54,195,195,0,STKTR8,16-120,0366,SECTION S,,
19,5,1/14/2018,21810015,CD-028506432,112,2,1,,,72.836,112,112,0,STKTR8,16-120,0200,SECTION S,,
19,5,1/14/2018,21810015,CD-002860852,135,2,1,,,81.656,135,135,0,STKTR8,16-120,0250,SECTION S,,
1,5,1/14/2018,21810016,CD-032622889,377,4,1,,,201.622,256.36,377,0,STKTR22,16-120,0100,SECTION S,,
1,5,1/14/2018,21810016,CD-032624889,540,3,1,,,287.743,367.2,540,0,STKTR22,16-120,0100,SECTION S,,
1,5,1/14/2018,21810016,CD-032686009,664,1,1,,,354.838,451.52,664,0,STKTR22,16-120,0100,SECTION S,,
1,5,1/14/2018,21810016,CD-62249-9,540,1,1,,,288.82,367.2,540,0,STKTR22,16-120,0100,CDIOR,,
1,5,1/14/2018,21810016,CD-000835000,259,1,1,,,138.495,176.12,259,0,STKTR22,16-120,0109,SECTION S,,
1,5,1/14/2018,21810016,CD-056364009,215,1,1,,,114.935,146.2,215,0,STKTR22,16-120,0109,CDIOR,,
1,5,1/14/2018,21810016,CD-008324609,659,4,1,,,350.438,448.12,659,0,STKTR22,16-120,0115,CDIOR,,
1,5,1/14/2018,21810016,CD-007822009,365,3,1,,,185.188,248.2,365,0,STKTR22,16-120,0151,CDIOR,,
1,5,1/14/2018,21810016,CD-009623009,332,2,1,,,177.551,225.76,332,0,STKTR22,16-120,0153,SECTION S,,
1,5,1/14/2018,21810016,CD-008224109,659,3,1,,,344.459,448.12,659,0,STKTR22,16-120,0154,CDIOR,,
1,5,1/14/2018,21810016,CD-001800000,168,1,1,,,89.232,114.24,168,0,STKTR22,16-120,0159,SECTION S,,
1,5,1/14/2018,21810016,CD-047922709,365,2,1,,,194.023,248.2,365,0,STKTR22,16-120,0159,CDIOR,,
1,5,1/14/2018,21810016,CD-062872009,377,2,1,,,201.611,256.36,377,0,STKTR22,16-120,0170,SECTION S,,
1,5,1/14/2018,21810016,CD-062874009,540,1,1,,,287.022,367.2,540,0,STKTR22,16-120,0170,SECTION S,,
1,5,1/14/2018,21810016,CD-069625091,173,1,1,,,90.129,117.64,173,0,STKTR22,16-120,0200,SECTION S,,
1,5,1/14/2018,21810016,CD-069717090,173,2,1,,,92.409,117.64,173,0,STKTR22,16-120,0200,SECTION S,,
1,5,1/14/2018,21810016,CD-069717264,173,2,1,,,91.951,117.64,173,0,STKTR22,16-120,0200,SECTION S,,
1,5,1/14/2018,21810016,CD-074630693,123,1,1,,,65.25,83.64,123,0,STKTR22,16-120,0200,SECTION S,,
1,5,1/14/2018,21810016,CD-74620-093,118,2,1,,,62.934,80.24,118,0,STKTR22,16-120,0200,CDIOR,,
1,5,1/14/2018,21810016,CD-918254000,512,3,1,,,273.883,348.16,512,0,STKTR22,16-120,0204,SECTION S,,
1,5,1/14/2018,21810016,CD-071525876,208,1,1,,,103.421,141.44,208,0,STKTR22,16-120,0211,SECTION S,,
1,5,1/14/2018,21810017,CD-015620961,183,1,1,,,107.768,183,183,0,STKTR8,16-120,0200,SECTION S,,
