REF_NO,REF_NO2,REF_NO3,DESCRIP,BRAND_LINE,BRAND_LIN2,SUPP_CODE,GROUP,MAINGROUP,MR_COST,AVE_COST,MR_LNDCOST,CURRENCY,UNITS,UNITS2,SUPP_UNIT,STK_LOC1,OP_AVCOST,MRK_COST,BATPROM1,PROMQTY,TOT_DAMQTY,LAST_RECDT,LAST_ISSDT,QTY_ORDER,EXPECTDTE,PRICE_WSCH,PRICE_RTCH,PRICE_VNCH,PRICE_UNIT,OPSTKLOC,OPENDTE,PURCCODE,SALECODE,IBCODE,BATCST1,BATLNDCST1,BATQTY1,BATDTE1,BATORD1,LAT_PRICE,CSOCODE,LST_INVNO,LST_GRVNO,CNT_ORIGN,DISCOUNT,OFF_PRICE,BAR_CODE,IB
CD-242643005,CDIOR,F242643005,UVX2 ULTRA PROTECTIVE WHITING CRM,0405,0405,16-120P,,,0,0,0,USD,50 ML,1,1,53,0,0,0,0,0,5/5/2005,,0,,0,0,0,1,53,1/1/2018,18-120,19-120,25-120,0,0,80,5/5/2005,10-PROM,0,,104452132,20501322,,0,0,,
CD-233733005,CDIOR,F233733005,X2 INTENSIVE WHITEING GEL ESSENCE,0405,0405,16-120P,,,0,0,0,USD,50 ML,1,1,35,0,0,0,0,0,5/5/2005,,0,,0,0,0,1,35,1/1/2018,18-120,19-120,25-120,0,0,48,5/5/2005,10-PROM,0,,104452132,20501322,,0,0,,
CD-077420118,CDIOR,F077420118,DIORKISS LUSCIOUS LIP GLOSS,0224,0224,16-120D,,,11.02,42.674,42.76,USD,PCS,1,1,0,42.674,42.674,0,0,0,10/24/2007,1/29/2013,0,,55.76,82,0,1,0,1/1/2018,18-120,19-120,25-120,11.02,42.7602,6,10/24/2007,10-6680,0,,104474748, 2050154,,80,43,3348900679641,
CD-270551003,CDIOR,F270551003,DIORSHOW POWDER BACKSTAGE,0162,0162,16-120P,,,4.64,3.867,18.128,USD,PCS,1,1,68,3.867,0,2,0,0,4/9/2009,1/7/2013,0,,0,0,0,1,68,1/1/2018,18-120,19-120,25-120,4.64,18.128,2,4/9/2009,10-7421,0,,104474750, 2050161,,0,0,,
CD-270551004,CDIOR,F270551004,DIORSHOW POWDER BACKSTAGE,0162,0162,16-120P,,,4.64,3.225,18.128,USD,PCS,1,1,99,3.225,0,2,0,0,4/9/2009,1/7/2013,0,,0,0,0,1,99,1/1/2018,18-120,19-120,25-120,4.64,18.128,2,4/9/2009,10-7421,0,,104474750, 2050161,,0,0,,
CD-270551005,CDIOR,F270551005,DIORSHOW POWDER BACKSTAGE,0162,0162,16-120P,,,4.64,4.248,18.128,USD,PCS,1,1,80,4.248,0,2,0,0,4/9/2009,1/7/2013,0,,0,0,0,1,80,1/1/2018,18-120,19-120,25-120,4.64,18.128,2,4/9/2009,10-7421,0,,104474750, 2050161,,0,0,,
CD-270551006,CDIOR,F270551006,DIOESHOW POWDER BACKSTAGE,0162,0162,16-120P,,,4.64,4.217,18.128,USD,PCS,1,1,91,4.217,0,2,0,0,4/9/2009,1/7/2013,0,,0,0,0,1,91,1/1/2018,18-120,19-120,25-120,4.64,18.128,2,4/9/2009,10-7421,0,,104474750, 2050161,,0,0,,
CD-277420118,CDIOR,F277420118,DIORKISS LUSCIOUS LIP GLOSS,0172,0172,16-120P,,,1.86,2.757,7.267,USD,PCS,1,1,0,2.757,0,10,0,0,1/17/2008,6/18/2015,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,1.86,7.267,10,1/17/2008,10-6807,0,,104474750, 2050161,,0,0,,
CD-277420248,CDIOR,F277420248,DIORKISS LUSCIOUS LIP GLOSS,0172,0172,16-120P,,,1.86,3.102,7.267,USD,PCS,1,1,0,3.102,0,24,0,0,9/19/2007,6/18/2015,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,1.86,7.267,24,8/16/2006,10-6037,0,,104474750, 2050161,,0,0,,
CD-277420298,CDIOR,F277420298,DIORKISS LUSCIOUS LIP GLOSS,0172,0172,16-120P,,,1.86,7.267,7.267,USD,PCS,1,1,0,7.267,0,0,0,0,5/12/2005,6/18/2015,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,1.86,7.267,36,5/12/2005,10-PROM,0,,104474750, 2050161,,0,0,,
CD-277420308,CDIOR,F277420308,DIORKISS LUSCIOUS LIPGLOSS,0172,0172,16-120P,,,1.86,7.267,7.267,USD,PCS',1,1,0,7.267,0,0,0,0,5/12/2005,6/18/2015,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,1.86,7.267,36,5/12/2005,10-PROM,0,,104474750, 2050161,,0,0,,
CD-009732100,CDIOR,F009732100,EDT BOTTLE,0150,0150,16-120,,,219.42,840.307,840.159,USD,1000 ML,1,1,0,840.307,840.307,0,0,0,8/31/2015,1/23/2018,0,,1068.28,1571,0,1,0,1/1/2018,18-120,19-120,25-120,219.42,840.1592,12,8/31/2015,10-2320,0,,104474748, 2050155,,0,0,3348900627475,
CD-023216000,CDIOR,F023216000,CLEANSING WATER FOR FACE & EYES,0306,0181,16-120D,,,17.61,67.504,67.556,USD,200 ML,1,1,0,67.504,67.504,0,0,0,8/2/2010,1/29/2013,0,,89.08,131,0,1,0,1/1/2018,18-120,19-120,25-120,17.61,67.5558,6,8/2/2010,10-7975,0,,104476794, 2050174,,70,68,3348900636477,
CD-023445105,CDIOR,F023445105,RINSE OFFCLEANSING GEL,0306,0181,16-120D,,,17.61,68.078,67.556,USD,150ML,1,1,2,68.078,68.078,0,0,0,8/2/2010,1/29/2013,0,,89.08,131,0,1,2,1/1/2018,18-120,19-120,25-120,17.61,67.5558,9,8/2/2010,10-7975,0,,104476794, 2050174,,70,68,3348900636484,
CD-023845500,CDIOR,F023845500,RINSE OFF CLEANSING FOAM,0306,0181,16-120D,,,17.61,68.001,67.556,USD,150 ML,1,1,0,68.001,68.001,0,0,0,8/2/2010,1/29/2013,0,,89.08,131,0,1,0,1/1/2018,18-120,19-120,25-120,17.61,67.5558,12,8/2/2010,10-7975,0,,104476794, 2050174,,70,68,3348900637863,
CD-024016000,CDIOR,F024016000,CLEANSING MILK FOR FACE & EYES,0306,0181,16-120D,,,17.61,68.085,67.556,USD,200 ML,1,1,0,68.085,68.085,0,0,0,8/2/2010,1/29/2013,0,,89.08,131,0,1,0,1/1/2018,18-120,19-120,25-120,17.61,67.5558,9,8/2/2010,10-7975,0,,104476794, 2050174,,70,68,3348900636491,
CD-024145000,CDIOR,F024145000,RINSE OFF CLEANSING BALM,0306,0181,16-120D,,,14.65,56.047,56.692,USD,150 ML,1,1,0,56.047,56.047,0,0,0,4/30/2008,7/5/2009,0,,74.12,109,0,1,0,1/1/2018,18-120,19-120,25-120,14.65,56.6921,48,4/30/2008,10-7004,0,,104476794, 2050174,,80,56,3348900636514,
CD-024216000,CDIOR,F024216000,"CLEANSING GELEE FOR FACE,LIPS & EYE",0306,0181,16-120D,,,20.3,78.328,77.875,USD,200 ML,1,1,0,78.328,78.328,0,0,0,8/2/2010,1/27/2013,0,,102.68,151,0,1,0,1/1/2018,18-120,19-120,25-120,20.3,77.8753,18,8/2/2010,10-7975,0,,104476794, 2050174,,70,78,3348900636538,
CD-024516115,CDIOR,F024516115,MATIFYING TONER,0306,0181,16-120D,,,17.61,67.446,67.556,USD,200 ML,1,1,0,67.446,67.446,0,0,0,8/2/2010,4/23/2014,0,,89.08,131,0,1,0,1/1/2018,18-120,19-120,25-120,17.61,67.5558,18,8/2/2010,10-7975,0,,104476794, 2050174,,70,67,3348900636521,
CD-024516215,CDIOR,F024516215,ENERGIZING TONER,0306,0181,16-120D,,,17.61,68.017,68.179,USD,200 ML,1,1,0,68.017,68.017,0,0,0,8/29/2010,4/23/2014,0,,89.08,131,0,1,0,1/1/2018,18-120,19-120,25-120,17.61,68.1787,12,8/29/2010,10-8001,0,,104476794, 2050174,,70,68,3348900636545,
CD-024516315,CDIOR,F024516315,SOOTHING TONER ALCHOL FREE,0306,0181,16-120D,,,17.61,67.607,67.556,USD,200 ML,1,1,0,67.607,67.607,0,0,0,8/2/2010,4/23/2014,0,,89.08,131,0,1,0,1/1/2018,18-120,19-120,25-120,17.61,67.5558,18,8/2/2010,10-7975,0,,104476794, 2050174,,70,68,3348900636552,
CD-024844000,CDIOR,F024844000,EXFOLIATING FACE SCRUB,0306,0181,16-120D,,,16.8,65.112,65.375,USD,75 ML,1,1,0,65.112,65.112,0,0,0,1/17/2008,1/27/2013,0,,85,125,0,1,0,1/1/2018,18-120,19-120,25-120,16.8,65.3754,18,1/17/2008,10-6807,0,,104476794, 2050174,,80,65,3348900636590,
CD-230160200,CDIOR,230160200,DIORSKIN COMPACT,0162,0162,16-120P,,,1.33,5.166,5.166,USD,PCS,1,1,24,5.166,0,0,0,0,5/24/2005,,0,,0,0,0,1,24,1/1/2018,18-120,19-120,25-120,1.33,5.1657,24,5/24/2005,10-PROM,0,,104476794, 2050175,,0,0,,
CD-220011102,CDIOR,F220011102,TEINT DIORSKIN ECLAT,0162,0162,16-120P,,,2.27,3,8.817,USD,PCS,1,1,43,3,0,1,0,0,3/9/2016,5/19/2016,0,,0,0,0,1,43,1/1/2018,18-120,19-120,25-120,2.27,8.817,1,3/9/2016,10-2663,0,,104476794, 2050175,,0,0,,
CD-202810001,CDIOR,F202810001,NAIL CREAM ABRICOT,0182,0182,16-120P,,,2.85,2.854,11.107,USD,PCS,1,1,19,2.854,0,1,0,0,4/4/2016,5/31/2016,0,,0,0,0,1,19,1/1/2018,18-120,19-120,25-120,2.85,11.107,1,4/4/2016,10-2739,0,,104496066, 2050220,,0,0,,
CD-230050601,CDIOR,230050601,DIORSKIN POUDER COMP,1002,1002,16-120P,,,1.3,2.524,5.066,USD,PCS,1,1,89,2.524,0,24,0,0,9/19/2007,6/13/2007,0,,0,0,0,1,89,1/1/2018,18-120,19-120,25-120,1.3,5.066,24,5/22/2006,10-5878,0,,104496066, 2050220,,0,0,,
CD-230050621,CDIOR,230050621,DIORSKIN POUDRE COMP,1002,1002,16-120P,,,1.3,2.694,5.066,USD,PCS,1,1,81,2.694,0,24,0,0,9/19/2007,6/13/2007,0,,0,0,0,1,81,1/1/2018,18-120,19-120,25-120,1.3,5.066,24,5/22/2006,10-5878,0,,104496066, 2050220,,0,0,,
CD-230050651,CDIOR,230051651,DIORSKIN POUDRE COMP,1002,1002,16-120P,,,1.3,1.679,5.066,USD,PCS,1,1,48,1.679,0,24,0,0,9/19/2007,6/13/2007,0,,0,0,0,1,48,1/1/2018,18-120,19-120,25-120,1.3,5.066,24,5/22/2006,10-5878,0,,104496066, 2050220,,0,0,,
CD-232806000,CDIOR,232806000,NAIL BASE COAT,0182,0182,16-120P,,,1.1,1.347,4.287,USD,PCS,1,1,21,1.347,0,24,0,0,4/10/2007,5/18/2011,0,,0,0,0,1,21,1/1/2018,18-120,19-120,25-120,1.1,4.287,24,4/10/2007,10-6344,0,,104496066, 2050220,,0,0,,
CD-232836000,CDIOR,232836000,NAIL FREANCH MANICURE,0182,0182,16-120P,,,3.63,3.457,14.147,USD,PCS,1,1,52,3.457,0,48,0,0,9/19/2007,11/6/2013,0,,0,0,0,1,52,1/1/2018,18-120,19-120,25-120,3.63,14.147,48,4/10/2007,10-6344,0,,104496066, 2050220,,0,0,,
CD-671502000,CDIOR,F671502000,DIOR COSMOTIC SET OF 18 S/CARE GRID,1000,1000,16-120P,,,391.3,1522.799,1522.799,USD,PCS,1,1,0,1522.799,0,0,0,0,7/25/2005,12/19/2005,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,391.3,1522.7987,15,7/25/2005,10-PROM,0,,104496126, 2050262,,0,0,,
CD-808502000,CDIOR,F808502000,DIOR COSMOTIC COUNTER BASE,1000,1000,16-120P,,,371.87,385.915,1447.184,USD,PCS,1,1,1,385.915,0,1,0,0,5/26/2011,11/4/2010,0,,0,0,0,1,1,1/1/2018,18-120,19-120,25-120,371.87,1447.184,1,5/26/2011,10-8325,0,,104496126, 2050262,,0,0,,
CD-830000000,CDIOR,F830000000,DIOR COSMOTIC GENERIC TRAY,1000,1000,16-120P,,,233.23,201.699,907.647,USD,PCS,1,1,0,201.699,0,1,0,0,5/26/2011,6/22/2009,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,233.23,907.647,1,5/26/2011,10-8325,0,,104496126, 2050262,,0,0,,
CD-077520094,CDIOR,F077520094,INTENSE LIQUID EYELINER,0200,0200,16-120,,,21.93,84.736,84.496,USD,PCS,1,1,4,84.736,84.736,0,0,0,12/9/2013,12/2/2014,0,,106.76,157,0,1,4,1/1/2018,18-120,19-120,25-120,21.93,84.4963,60,12/9/2013,10-9697,0,,104516331,20502621,,0,0,3348900670730,
CD-123211000,CDIOR,F123211000,CLEANSING WATER FOR FACE & EYES,0504,0504,16-120P,,,0.3,0.09,1.167,USD,15 ML,1,1,0,0.09,0,250,0,0,11/8/2009,5/25/2010,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,0.3,1.167,250,11/8/2009,10-7691,0,,104512234, 2050280,,0,0,3348900636248,
CD-123448105,CDIOR,F123448105,RINSE-OFF CLEANSING GEL,0504,0504,16-120P,,,0.37,1.44,1.44,USD,10 ML,1,1,0,1.44,0,0,0,0,8/2/2005,6/28/2009,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,0.37,1.4395,400,8/2/2005,10-PROM,0,,104512234, 2050280,,0,0,33948900636255,
CD-123850500,CDIOR,F123850500,RINSE-OFF CLEANSING FOAM,0504,0504,16-120P,,,0.39,0.248,1.517,USD,10 ML,1,1,0,0.248,0,400,0,0,9/19/2007,9/30/2009,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,0.39,1.517,400,4/10/2007,10-6344,0,,104512234, 2050280,,0,0,3348900637818,
CD-124011000,CDIOR,F124011000,CLEANSING MILK FOR FACE&EYES,0504,0504,16-120P,,,0.32,0.049,1.245,USD,15 ML,1,1,0,0.049,0,400,0,0,7/28/2009,7/4/2010,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,0.32,1.245,400,7/28/2009,10-7563,0,,104512234, 2050280,,0,0,3348900636293,
CD-124148000,CDIOR,F124148000,RINSE-OFF CLEANSING BALM,0504,0504,16-120P,,,0.39,1.517,1.517,USD,10 ML,1,1,0,1.517,0,0,0,0,8/2/2005,12/11/2013,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,0.39,1.5173,400,8/2/2005,10-PROM,0,,104512234, 2050280,,0,0,3348900636316,
CD-124241000,CDIOR,F124241000,CLEANSING GELEE FOR FACE/LIPS/EYES,0504,0504,16-120P,,,0.3,0.307,1.167,USD,15 ML,1,1,68,0.307,0,1600,0,0,9/11/2008,12/11/2013,0,,0,0,0,1,68,1/1/2018,18-120,19-120,25-120,0.3,1.167,1600,9/11/2008,10-7155,0,,104512234, 2050280,,0,0,3348900636323,
CD-124541115,CDIOR,F124541115,MATIFYING TONER,0504,0504,16-120P,,,0.3,1.167,1.167,USD,15 ML,1,1,0,1.167,0,0,0,0,8/2/2005,12/11/2013,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,0.3,1.1672,400,8/2/2005,10-PROM,0,,104512234, 2050280,,0,0,3348900636279,
CD-124541215,CDIOR,F124541215,ENERGIZING TONER,0504,0504,16-120P,,,0.3,1.167,1.167,USD,15 ML,1,1,0,1.167,0,0,0,0,8/2/2005,6/28/2009,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,0.3,1.1672,400,8/2/2005,10-PROM,0,,104512234, 2050280,,0,0,3348900636286,
CD-124541315,CDIOR,F124541315,SOOTHING TONER ALCOHOL-FREE,0504,0504,16-120P,,,0.3,0.111,1.167,USD,15 ML,1,1,0,0.111,0,1000,0,0,9/11/2008,6/14/2010,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,0.3,1.167,1000,9/11/2008,10-7155,0,,104512234, 2050280,,0,0,3348900636309,
CD-124641000,CDIOR,F124641000,DUO-PHASE EYE MAKEUP REMOVER,0504,0504,16-120P,,,0.62,0.325,2.412,USD,15 ML,1,1,0,0.325,0,2000,0,0,1/30/2007,7/7/2009,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,0.62,2.412,2000,1/30/2007,10-6254,0,,104512234, 2050280,,0,0,3348900636347,
CD-124848000,CDIOR,F124848000,EXFOLIATING FACE SCRUB,0504,0504,16-120P,,,0.52,2.023,2.023,USD,10 ML,1,1,20,2.023,0,0,0,0,8/2/2005,8/31/2010,0,,0,0,0,1,20,1/1/2018,18-120,19-120,25-120,0.52,2.0231,600,8/2/2005,10-PROM,0,,104512234, 2050280,,0,0,3348900636378,
CD-223216000,CDIOR,F223216000,CLEANSING WATER FOR FACE&EYES,0505,0505,16-120P,,,3.02,2.207,11.75,USD,200 ML,1,1,0,2.207,0,48,0,0,5/6/2010,1/26/2017,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,3.02,11.75,48,5/6/2010,10-7821,0,,104512234, 2050280,,0,0,3348900639201,
CD-223445105,CDIOR,F223445105,RINSE-OFF CLEANSING GEL,0505,0505,16-120P,,,2.1,3.903,8.17,USD,150 ML,1,1,0,3.903,0,12,0,0,4/14/2008,1/26/2017,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,2.1,8.17,12,4/10/2007,10-6344,0,,104512234, 2050280,,0,0,3348900639225,
CD-223845500,CDIOR,F223845500,RINSE-OFF CLEANSING FOAM,0505,0505,16-120P,,,2.71,4.892,10.544,USD,150 ML,1,1,0,4.892,0,12,0,0,4/14/2008,1/26/2017,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,2.71,10.544,12,4/10/2007,10-6344,0,,104512234, 2050280,,0,0,3348900639102,
CD-224016000,CDIOR,F224016000,CLEANSING MILK FOR FACE&EYES,0505,0505,16-120P,,,3.58,3.893,13.928,USD,200 ML,1,1,0,3.893,0,18,0,0,5/6/2010,1/26/2017,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,3.58,13.928,18,5/6/2010,10-7821,0,,104512234, 2050280,,0,0,3348900639164,
CD-224145000,CDIOR,F224145000,RINSE-OFF CLEANSING BALM,0505,0505,16-120P,,,2.47,6.063,9.61,USD,150 ML,1,1,0,6.063,0,12,0,0,4/14/2008,6/18/2015,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,2.47,9.61,12,4/10/2007,10-6344,0,,104512234, 2050280,,0,0,3348900639096,
CD-224216000,CDIOR,F224216000,CLEANSING GELEE FOR FACE/LIPS/EYES,0505,0505,16-120P,,,3.58,4.766,13.928,USD,200 ML,1,1,0,4.766,0,36,0,0,4/14/2008,1/26/2017,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,3.58,13.928,36,4/10/2007,10-6344,0,,104512234, 2050280,,0,0,3348900639157,
CD-224516115,CDIOR,F224516115,MATIFYING TONER,0505,0505,16-120P,,,3.14,6.696,12.216,USD,200 ML,1,1,0,6.696,0,17,0,0,11/11/2008,1/26/2017,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,3.14,12.216,17,11/11/2008,10-7245,0,,104512234, 2050280,,0,0,3348900639171,
CD-224516215,CDIOR,F224516215,ENERGIZING TONER,0505,0505,16-120P,,,3.14,2.971,12.216,USD,200 ML,1,1,0,2.971,0,24,0,0,8/2/2010,1/26/2017,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,3.14,12.216,24,8/2/2010,10-7975,0,,104512234, 2050280,,0,0,3348900639188,
CD-224516315,CDIOR,F224516315,SOOTHING TONER ALCOHOL-FREE,0505,0505,16-120P,,,3.14,5.714,12.216,USD,200 ML,1,1,0,5.714,0,9,0,0,11/11/2008,1/26/2017,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,3.14,12.216,9,11/11/2008,10-7245,0,,104512234, 2050280,,0,0,3348900639195,
CD-224615000,CDIOR,F224615000,DUO-PHASE MAKEUP REMOVER,0505,0505,16-120P,,,4.19,10.074,16.302,USD,125 ML,1,1,0,10.074,0,24,0,0,9/19/2007,2/4/2013,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,4.19,16.302,24,5/30/2006,10-5878,0,,104512234, 2050280,,0,0,3348900639041,
CD-224844000,CDIOR,F224844000,EXFOLIATING FACE SCRUB,0505,0505,16-120P,,,2.71,4.076,10.544,USD,75 ML,1,1,0,4.076,0,24,0,0,4/14/2008,6/18/2015,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,2.71,10.544,24,4/10/2007,10-6344,0,,104512234, 2050280,,0,0,3348900639119,
CD-030452001,CDIOR,F030452001,HYDRATION SORBET CREME,0372,0372,16-120D,,,25.56,87.919,99.169,USD,30 ML,1,1,0,87.919,87.919,0,0,0,1/11/2009,1/27/2013,0,,129.2,190,0,1,0,1/1/2018,18-120,19-120,25-120,25.56,99.1695,6,1/11/2009,10-7289,0,,104532608, 2050282,,80,88,3348900670648,
CD-030453001,CDIOR,F030453001,HYDRATION SORBET CREME,0372,0372,16-120D,,,37.64,144.722,145.739,USD,50 ML,1,1,0,144.722,144.722,0,0,0,3/29/2010,1/27/2013,0,,190.4,280,0,1,0,1/1/2018,18-120,19-120,25-120,37.64,145.7387,17,3/29/2010,10-7839,0,,104532608, 2050282,,70,145,3348900660120,
CD-030453002,CDIOR,F030453002,HYDRATION RICH CREME DRY SKIN,0372,0372,16-120D,,,37.67,143.177,145.812,USD,50 ML,1,1,0,143.177,143.177,0,0,0,1/10/2010,1/27/2013,0,,190.4,280,0,1,0,1/1/2018,18-120,19-120,25-120,37.67,145.8123,9,1/10/2010,10-7746,0,,104532608, 2050282,,70,143,3348900660144,
CD-030453003,CDIOR,F030453003,HYDRATION EXTREME CREME DRY SKIN,0372,0372,16-120D,,,40.5,149.079,156.767,USD,50 ML,1,1,0,149.079,149.079,0,0,0,1/10/2010,1/27/2013,0,,204.68,301,0,1,0,1/1/2018,18-120,19-120,25-120,40.5,156.7666,9,1/10/2010,10-7746,0,,104532608, 2050282,,70,149,3348900660168,
CD-030632000,CDIOR,F030632000,HYDRATION RADICAL SERUM ALL SKIN,0372,0372,16-120,,,37.67,139.214,145.812,USD,30 ML,1,1,0,139.214,139.214,0,0,0,1/10/2010,1/27/2013,0,,190.4,280,0,1,0,1/1/2018,18-120,19-120,25-120,37.67,145.8123,6,1/10/2010,10-7746,0,,104532608, 2050282,,70,139,3348900660052,
CD-030633000,CDIOR,F030633000,HYDRATION RADICAL SERUM ALL SKIN,0372,0372,16-120D,,,52.88,200.063,204.758,USD,50 ML,1,1,0,200.063,200.063,0,0,0,10/27/2009,8/21/2011,0,,267.24,393,0,1,0,1/1/2018,18-120,19-120,25-120,52.88,204.7577,12,10/27/2009,10-7682,0,,104532608, 2050282,,70,200,3348900660090,
CD-030833001,CDIOR,F030833001,HYDRATION SORBET GEL,0372,0372,16-120D,,,37.64,145.277,145.739,USD,50 ML,1,1,0,145.277,145.277,0,0,0,3/29/2010,1/27/2013,0,,190.4,280,0,1,0,1/1/2018,18-120,19-120,25-120,37.64,145.7387,19,3/29/2010,10-7839,0,,104532608, 2050282,,70,145,3348900660076,
CD-757002118,CDIOR,F757002118,DIOR COSMOTIC FRAGRANCE BAR,1000,1000,16-120P,,,475.46,1851.907,1851.907,USD,PCS,1,1,1,1851.907,0,0,0,0,8/9/2005,,0,,0,0,0,1,1,1/1/2018,18-120,19-120,25-120,475.46,1851.9072,1,8/9/2005,10-PROM,0,,104539066, 2050292,,0,0,3348900681880,
CD-757002223,CDIOR,F757002223,DIOR COSMOTIC FRAGRANCE BAR,1000,1000,16-120P,,,698.92,2722.279,2722.279,USD,PCS,1,1,1,2722.279,0,0,0,0,8/9/2005,,0,,0,0,0,1,1,1/1/2018,18-120,19-120,25-120,698.92,2722.2794,1,8/9/2005,10-PROM,0,,104539066, 2050292,,0,0,3348900624399,
CD-836251001,CDIOR,F836251001,DIOR COSMOTIC SET OF WOMEN FRAGRNCE,1000,1000,16-120P,,,330.72,1288.148,1288.148,USD,PCS,1,1,1,1288.148,0,0,0,0,8/9/2005,,0,,0,0,0,1,1,1/1/2018,18-120,19-120,25-120,330.72,1288.1478,1,8/9/2005,10-PROM,0,,104539066, 2050292,,0,0,3348900656758,
CD-836251002,CDIOR,F836251002,DIOR COSMOTIC SET OF WOMAN FRAGRNCE,1000,1000,16-120P,,,195.04,759.677,759.677,USD,PCS,1,1,1,759.677,0,0,0,0,8/9/2005,,0,,0,0,0,1,1,1/1/2018,18-120,19-120,25-120,195.04,759.6769,1,8/9/2005,10-PROM,0,,104539066, 2050292,,0,0,,
CD-283205001,CDIOR,F283205001,DIORGLAM FACE&EYES HIGHLIGHTNG PWDR,0162,0162,16-120P,,,6.29,24.493,24.493,USD,13 G,1,1,0,24.493,0,0,0,0,8/18/2005,6/18/2015,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,6.29,24.4927,18,8/18/2005,10-PROM,0,,104540792, 2050300,,0,0,3348900670235,
CD-283205002,CDIOR,F283205002,DIORGLAM FACE&EYES HIGHLIGHTNG PWDR,0162,0162,16-120P,,,6.29,24.493,24.493,USD,13 G,1,1,0,24.493,0,0,0,0,8/18/2005,6/18/2015,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,6.29,24.4927,18,8/18/2005,10-PROM,0,,104540792, 2050300,,0,0,3348900670242,
CD-200341680,CDIOR,F200341680,DIOR ADDICT NAIL ENAMEL,0182,0182,16-120P,,,1.11,4.322,4.322,USD,PCS,1,1,0,4.322,0,0,0,0,8/18/2005,6/18/2015,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,1.11,4.3222,14,8/18/2005,10-PROM,0,,104540792, 2050300,,0,0,3348900701243,
CD-214700058,CDIOR,F214700058,MONO EYESHADOW 1 COLOUR,0152,0152,16-120P,,,1.42,5.529,5.529,USD,PCS,1,1,0,5.529,0,0,0,0,8/18/2005,6/18/2015,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,1.42,5.5294,14,8/18/2005,10-PROM,0,,104540792, 2050300,,0,0,3348900680104,
CD-214700738,CDIOR,F214700738,MONO EYESHADOW 1 COLOUR,0152,0152,16-120P,,,1.42,4.147,5.529,USD,PCS,1,1,0,4.147,0,6,0,0,5/22/2006,6/18/2015,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,1.42,5.529,6,5/22/2006,10-5878,0,,104540792, 2050300,,0,0,3348900680098,
CD-214801330,CDIOR,F214801330,5 COLOURS EYESHADOW,0152,0152,16-120P,,,3.45,13.434,13.434,USD,PCS,1,1,12,13.434,0,0,0,0,8/18/2005,,0,,0,0,0,1,12,1/1/2018,18-120,19-120,25-120,3.45,13.434,12,8/18/2005,10-PROM,0,,104540792, 2050300,,0,0,3348900680074,
CD-214801980,CDIOR,F214801980,5 COLOURS EYESHADOW,0152,0152,16-120P,,,3.45,13.434,13.434,USD,PCS,1,1,12,13.434,0,0,0,0,8/18/2005,,0,,0,0,0,1,12,1/1/2018,18-120,19-120,25-120,3.45,13.434,12,8/18/2005,10-PROM,0,,104540792, 2050300,,0,0,3348900680081,
CD-228500213,CDIOR,F228500213,DIOR ADDICT ULTRA GLOSS,0172,0172,16-120P,,,1.73,6.736,6.736,USD,PCS,1,1,0,6.736,0,0,0,0,8/18/2005,6/18/2015,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,1.73,6.7365,18,8/18/2005,10-PROM,0,,104540792, 2050300,,0,0,3348900680258,
